U_gain	E_gain	24c	24f	48c	48f	72c	72f
-3.3185301483632365e-05	0.1871024944171254	0	0.21875	0	0.4375	0.28125	0.0625
0.04715583370670072	0.2690112413106473	0	0.40625	0.03125	0.15625	0.40625	0
0.001094484513597967	0.18710520493132646	0	0.25	0	0.34375	0.40625	0
0.01376840922473373	0.16610854248379736	0	0.15625	0	0.375	0.4375	0.03125
0.03979405456844913	0.21790162984940117	0	0.3125	0	0.21875	0.46875	0
-1.560240281757078e-05	0.16770099935716218	0	0.09375	0	0.5	0.375	0.03125
0.000499876251745404	0.1305169221674893	0	0.03125	0	0.46875	0.375	0.125
0.09072364241344955	0.17587917147299484	0	0.125	0.03125	0.375	0.46875	0
-0.000338583091697207	0.18573408217408402	0	0.1875	0	0.4375	0.375	0
3.5136671727128535e-05	0.18227955218379063	0	0.03125	0	0.53125	0.40625	0.03125
0.02007645188976623	0.22581540163293823	0	0.34375	0	0.28125	0.375	0
0.0041204506492501835	0.1897116738535411	0	0.28125	0	0.40625	0.28125	0.03125
-0.0004512358024500264	0.20387986929087346	0	0.15625	0	0.375	0.375	0.09375
4.1615484518002366e-05	0.1401162022590463	0	0	0	0.5	0.28125	0.21875
0.0002680503868030391	0.13920125963060703	0	0	0	0.5	0.40625	0.09375
0.0256198164016917	0.22615082703353395	0	0.28125	0	0.375	0.34375	0
0.0002739455290680083	0.20898114447699437	0	0.15625	0	0.5	0.3125	0.03125
0.0011581059097260328	0.17528412416286593	0	0.21875	0	0.40625	0.34375	0.03125
0.03267957196623741	0.16934795236734698	0	0.1875	0.03125	0.4375	0.34375	0
0.044461032001224816	0.247166013405742	0	0.28125	0	0.28125	0.4375	0
0.05016918901360724	0.19982863627448455	0	0.21875	0	0.5	0.28125	0
0.1017714339683121	0.17612035046640084	0	0.25	0	0.28125	0.46875	0
0.003057713832402662	0.18216768284553528	0	0.28125	0	0.21875	0.4375	0.0625
0.14096878155113327	0.284957332798004	0	0.34375	0	0.21875	0.40625	0.03125
-0.0002775048334110831	0.15840695739850316	0	0.03125	0	0.625	0.34375	0
-0.00027502201108960464	0.16013859362703659	0	0.15625	0	0.3125	0.5	0.03125
0.001662318091142604	0.210299477942966	0	0.21875	0	0.25	0.46875	0.0625
0.03157189471228565	0.23549361890979417	0	0.3125	0.03125	0.1875	0.46875	0
0.0007035001135772292	0.21653443304886005	0	0.3125	0	0.34375	0.34375	0
-0.00046372239735075496	0.1648724766854773	0	0.1875	0	0.46875	0.28125	0.0625
0.0007831691222032467	0.21358277530255249	0	0.1875	0	0.375	0.4375	0
-0.00022576876029764184	0.21240469662808428	0	0.28125	0.03125	0.3125	0.34375	0.03125
9.424893326821241e-05	0.1663089737007124	0	0.1875	0	0.4375	0.34375	0.03125
0.06174481754208182	0.20420248480875544	0	0.34375	0	0.28125	0.375	0
-0.00040298251528343335	0.1407398211338948	0	0.09375	0	0.46875	0.34375	0.09375
