U_gain	E_gain	16_RANGE2c	16_RANGE2f	26_RANGE2c	26_RANGE2f	16c	16f	26c	26f	30c	30f	60c	60f	90c	90f	120c	120f	150c	150f	170c	170f	150_BOOSTc	150_BOOSTf	170_BOOSTc	170_BOOSTf
-0.0011038947520478997	0.3098318026276979	0	0	0	0.265625	0	0	0	0	0	0	0	0	0	0	0	0	0.046875	0.109375	0.171875	0.40625	0	0	0	0
-0.0007646877667951612	0.2730054336475374	0	0	0	0.234375	0	0	0	0	0	0	0	0	0	0	0	0	0.0625	0.078125	0.15625	0.46875	0	0	0	0
-0.0008942914817450973	0.25722671743916337	0	0	0	0.265625	0	0	0	0	0	0	0	0	0	0	0	0	0.03125	0.1875	0.1875	0.328125	0	0	0	0
-0.0007116781059155065	0.26545383697049585	0	0	0	0.359375	0	0	0	0	0	0	0	0	0	0	0	0	0.015625	0.15625	0.25	0.21875	0	0	0	0
-0.0005693871540350433	0.27716548743239594	0	0	0	0.3125	0	0	0	0	0	0	0	0	0	0	0	0.015625	0.078125	0.0625	0.125	0.40625	0	0	0	0
-0.0010587945393960572	0.21979638358493656	0	0	0	0.203125	0	0	0	0	0	0	0	0	0	0	0	0.015625	0.109375	0.09375	0.15625	0.421875	0	0	0	0
-0.000948363826113235	0.2206653633944535	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0.015625	0	0	0.046875	0.125	0.21875	0.34375	0	0	0	0
-0.0007182268328257689	0.1290996539377706	0	0	0	0.203125	0	0	0	0	0	0	0	0	0	0	0	0	0	0.140625	0.234375	0.421875	0	0	0	0
-0.0006609217598819504	0.23023246762034455	0	0	0	0.140625	0	0	0	0	0	0	0	0	0	0.015625	0	0	0.03125	0.0625	0.265625	0.484375	0	0	0	0
-0.0008145599765123233	0.3572460074527854	0	0	0	0.375	0	0	0	0	0	0	0	0	0	0	0	0	0.03125	0.125	0.203125	0.265625	0	0	0	0
-0.0008789481316930226	0.4197959033618558	0	0	0	0.40625	0	0	0	0	0	0	0	0	0	0	0	0	0.046875	0.046875	0.15625	0.34375	0	0	0	0
-0.0009063996919128536	0.24968571964521408	0	0	0	0.234375	0	0	0	0	0	0	0	0	0	0	0	0.03125	0.046875	0.09375	0.15625	0.4375	0	0	0	0
-0.0010675582160285012	0.3013606145840897	0	0	0	0.296875	0	0	0	0	0	0	0	0	0	0	0	0.015625	0.078125	0.09375	0.15625	0.359375	0	0	0	0
-0.0008997957317116062	0.39145171463534995	0	0	0	0.234375	0	0	0	0	0	0	0	0	0	0	0	0	0	0.140625	0.25	0.359375	0	0	0	0.015625
0.001599826903193327	0.260342668947562	0	0	0	0.265625	0	0	0	0	0	0.015625	0	0	0	0	0	0	0.078125	0.0625	0.171875	0.40625	0	0	0	0
-0.0009344551774354448	0.21640471071391845	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0.015625	0.09375	0.21875	0.421875	0	0	0	0
-0.00045384709491806083	0.3712668934043018	0	0	0	0.390625	0	0	0	0	0	0	0	0	0	0	0	0	0.09375	0.15625	0.140625	0.21875	0	0	0	0
0.00020894249239245092	0.3760194366360197	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0.015625	0	0.0625	0.1875	0.484375	0	0	0	0
-0.00030618703956991253	0.21830414608208437	0	0	0	0.21875	0	0	0	0	0	0	0	0	0	0	0	0	0.015625	0.15625	0.1875	0.40625	0	0	0	0.015625
-0.0004094050686633777	0.2019750241691408	0	0	0	0.265625	0	0	0	0	0	0	0	0	0	0	0	0.015625	0.03125	0.046875	0.203125	0.4375	0	0	0	0
-0.0010095250012662192	0.21867393437473967	0	0	0	0.21875	0	0	0	0	0	0	0	0	0	0	0	0.015625	0.0625	0.109375	0.140625	0.453125	0	0	0	0
-0.0002052448296335988	0.22580506550259186	0	0	0	0.234375	0	0	0	0	0	0	0	0	0	0	0	0.03125	0.03125	0.125	0.171875	0.40625	0	0	0	0
-0.0006537069537822351	0.4026260235520205	0	0	0	0.421875	0	0	0	0	0	0	0	0	0	0	0	0	0.09375	0.0625	0.171875	0.25	0	0	0	0
-0.0010964253601196496	0.27894438324950965	0	0	0	0.328125	0	0	0	0	0	0.015625	0	0	0	0	0	0	0	0.09375	0.1875	0.375	0	0	0	0
-0.000995640655872686	0.2602762574609651	0	0	0	0.328125	0	0	0	0	0	0	0	0	0	0	0	0	0.046875	0.140625	0.1875	0.296875	0	0	0	0
-0.0009119245214423546	0.2741945898921302	0	0	0	0.296875	0	0	0	0	0	0	0	0	0	0	0	0	0.046875	0.046875	0.171875	0.421875	0	0.015625	0	0
